,links
0,main page
1,contents
2,current events
3,random article
4,about wikipedia
5,help
6,learn to edit
7,community portal
8,recent changes
9,upload file
10,"





"
11,"
search
"
12,learn more
13,contributions
14,talk
15,article
16,talk
17,read
18,read
19,what links here
20,related changes
21,upload file
22,special pages
23,
24,
25,
26,jesus (disambiguation)
27,christ (disambiguation)
28,jesus christ (disambiguation)
29,jesus of nazareth (disambiguation)
30,
31,christ pantocrator
32,saint catherine's monastery
33,mount sinai
34,6 to 4 bc
35,herodian kingdom
36,roman empire
37,jerusalem
38,judaea
39,crucifixion
40,christianity
41,islam
42,druze faith
43,manifestation of god
44,baháʼí faith
45,mary
46,joseph
47,bc
48,ad
49,names and titles
50,jewish
51,preacher
52,christianity
53,world's largest religion
54,incarnation
55,god the son
56,messiah
57,christ
58,hebrew bible
59,antiquity
60,jesus existed historically
61,gospels
62,four canonical gospels
63,new testament
64,academic research
65,historical reliability of the gospels
66,historical jesus
67,galilean
68,was circumcised
69,baptized
70,john the baptist
71,his own ministry
72,rabbi
73,god
74,parables
75,twelve
76,disciples
77,jerusalem
78,jewish authorities
79,roman
80,crucified
81,pontius pilate
82,roman prefect
83,judea
84,rose from the dead
85,early christian church
86,worldwide movement
87,initially conserved by oral transmission
88,christian theology
89,holy spirit
90,born of a virgin
91,mary
92,miracles
93,christian church
94,crucifixion
95,atonement for sin
96,ascended
97,heaven
98,will return
99,christians believe jesus
100,nicene creed
101,judge the living and the dead
102,before
103,after
104,bodily resurrection
105,second coming
106,christian eschatology
107,prosopons
108,trinity
109,birth of jesus
110,christmas
111,good friday
112,easter sunday
113,calendar era
114,ad
115,2024
116,ce
117,birthdate of jesus
118,baha'i faith
119,druze faith
120,islam
121,in islam
122,ʿīsā
123,prophet
124,god
125,messiah
126,will return
127,day of judgement
128,muslims
129,mary
130,was killed or crucified
131,raised him into heaven while he was still alive
132,judaism rejects the belief
133,messianic prophecies
134,lawfully anointed
135,jesus (name)
136,holy name of jesus
137,names and titles of jesus in the new testament
138,names of god in christianity
139,a series
140,
141,jesus in christianity
142,christ
143,christology
144,names and titles
145,life of jesus
146,gospels
147,gospel harmony
148,places
149,virgin birth
150,nativity
151,baptism
152,ministry
153,sermon on the mount
154,miracles
155,parables
156,humiliation
157,execution
158,burial
159,resurrection
160,ascension
161,obedience
162,heavenly session
163,intercession
164,second coming
165,jesus in islam
166,masih
167,gospel
168,names and titles
169,mary
170,disciples
171,death
172,mahdi
173,end times
174,background
175,background to the new testament
176,language spoken by jesus
177,jesus' race
178,genealogy
179,jesus in history
180,chronology
181,historical jesus
182,quest for the historical jesus
183,historicity
184,sources for the historicity of jesus
185,reliability of the gospels
186,mythology
187,jesus myth theory
188,criticism
189,unknown years
190,relics
191,perspectives on jesus
192,christian
193,jewish
194,talmud
195,islamic
196,ahmadi
197,manichaean
198,mandaean
199,josephus
200,tacitus
201,bar-serapion
202,jesus in culture
203,life in art
204,depiction
205,jesuism
206,
207,christianity portal
208,islam portal
209,v
210,t
211,e
212,
213,hebrew
214,aramaic
215,greek
216,latin
217,english
218,jew
219,had only one name
220,"followed by the phrase ""son of [father's name]"""
221,nazareth
222,mary
223,james
224,joses
225,judas
226,simon
227,joseph
228,philip
229,gospel of matthew
230,angel
231,joseph
232,christianity
233,christ
234,title or office
235,mashiakh
236,anointed
237,messiah
238,sacred oil
239,prophesied
240,hebrew bible
241,christian
242,life of jesus
243,new testament places associated with jesus
244,events
245,life of jesus
246,canonical gospels
247,
248,early life
249,annunciation
250,visitation
251,joseph's dreams
252,nativity
253,virgin birth
254,annunciation to the shepherds
255,adoration of the shepherds
256,circumcision
257,adoration of the magi
258,flight into egypt
259,massacre of the innocents
260,presentation
261,return to nazareth
262,finding in the temple
263,ministry
264,baptism
265,temptation
266,commissioning
267,twelve apostles
268,sermon on the mount
269,plain
270,beatitudes
271,lord's prayer
272,miracles
273,parables
274,prayer
275,rejection
276,transfiguration
277,passion
278,triumphal entry into jerusalem
279,temple cleansing
280,second coming prophecy
281,anointing
282,last supper
283,farewell discourse
284,paraclete promised
285,agony in the garden
286,kiss of judas
287,arrest
288,sanhedrin trial
289,mocking
290,herod's court
291,pilate's court
292,flagellation
293,crown of thorns
294,via dolorosa
295,crucifixion
296,descent from the cross
297,entombment
298,harrowing of hell
299,resurrection
300,empty tomb
301,appearances
302,noli me tangere
303,road to emmaus
304,great commission
305,ascension
306,nt
307,road to damascus
308,john's vision
309,
310,christianity
311,
312,bible
313,v
314,t
315,e
316,gospel
317,gospel harmony
318,historical reliability of the gospels
319,
320,papyrus
321,gospel of luke
322,canonical gospels
323,matthew
324,mark
325,luke
326,john
327,last supper
328,1 corinthians 11
329,acts of the apostles
330,john the baptist
331,ascension of jesus
332,undisputed pauline letters
333,early christian
334,gospel of thomas
335,gospel of peter
336,gospel of judas
337,apocryphon of james
338,many other apocryphal writings
339,four evangelists
340,john mark
341,peter
342,matthew
343,luke
344,paul
345,beloved disciple
346,marcan priority
347,q source
348,literary genre
349,biography
350,inerrant
351,synoptic gospels
352,a series
353,christianity
354,
355,jesus
