,links
0,main page
1,contents
2,current events
3,random article
4,about wikipedia
5,help
6,learn to edit
7,community portal
8,recent changes
9,upload file
10,"





"
11,"
search
"
12,learn more
13,contributions
14,talk
15,article
16,talk
17,read
18,read
19,what links here
20,related changes
21,upload file
22,special pages
23,
24,love (disambiguation)
25,a series
26,
27,affection
28,bonding
29,broken heart
30,compassionate love
31,conjugal love
32,courtly love
33,courtship
34,troubadours
35,falling in love
36,friendship
37,cross-sex
38,romantic
39,zone
40,interpersonal attraction
41,interpersonal relationship
42,intimacy
43,limerence
44,love addiction
45,love at first sight
46,love triangle
47,lovesickness
48,lovestruck
49,obsessive love
50,passion
51,platonic love
52,puppy love
53,romance
54,self-love
55,amour de soi
56,unconditional love
57,unrequited love
58,anarchist
59,free love
60,patriotism
61,ren
62,yuanfen
63,amour-propre
64,greek
65,words for love
66,agape
67,eros
68,ludus
69,mania
70,philautia
71,philia
72,philos
73,pragma
74,storgḗ
75,xenia
76,kama
77,bhakti
78,maitrī
79,ishq
80,jewish
81,chesed
82,amor
83,caritas
84,saudade
85,mamihlapinatapai
86,color wheel theory of love
87,bhakti yoga
88,biological basis
89,love letter
90,love of christ
91,love of god
92,in christianity
93,love magic
94,valentine's day
95,philosophy
96,religious views
97,love deities
98,mere-exposure effect
99,sacred heart
100,similarity
101,physical attractiveness
102,triangular theory of love
103,v
104,t
105,e
106,a series
107,emotions
108,
109,
110,affect
111,classification
112,in animals
113,emotional intelligence
114,mood
115,regulation
116,interpersonal
117,dysregulation
118,valence
119,acceptance
120,admiration
121,affection
122,amusement
123,anger
124,angst
125,anguish
126,annoyance
127,anticipation
128,anxiety
129,apathy
130,arousal
131,awe
132,boredom
133,confidence
134,confusion
135,contempt
136,contentment
137,courage
138,curiosity
139,depression
140,desire
141,disappointment
142,disgust
143,distrust
144,doubt
145,ecstasy
146,elevation
147,embarrassment
148,emotional detachment
149,empathy
150,enthusiasm
151,envy
152,euphoria
153,faith
154,fear
155,frustration
156,gratification
157,gratitude
158,greed
159,grief
160,guilt
161,happiness
162,hatred
163,hope
164,horror
165,hostility
166,humiliation
167,interest
168,jealousy
169,joy
170,kindness
171,limerence
172,loneliness
173,lust
174,nostalgia
175,outrage
176,panic
177,passion
178,pity
179,pleasure
180,pride
181,rage
182,regret
183,rejection
184,relief
185,remorse
186,resentment
187,sadness
188,saudade
189,schadenfreude
190,self-pity
191,shame
192,shock
193,shyness
194,social connection
195,sorrow
196,suffering
197,surprise
198,suspicion
199,trust
200,wonder
201,worry
202,v
203,t
204,e
205,special characters
206,rendering support
207,"question marks, boxes, or other symbols"
208,mental states
209,virtue
210,interpersonal
211,affection
212,spouse
213,food
214,attachment
215,virtue
216,kindness
217,compassion
218,affection
219,vice
220,moral flaw
221,vanity
222,selfishness
223,amour-propre
224,egotism
225,mania
226,obsessiveness
227,codependency
228,interpersonal relationships
229,creative arts
230,facilitate the continuation of the species
231,six forms of love
232,familial love
233,storge
234,friendly love
235,platonic love
236,philia
237,romantic love
238,eros
239,self-love
240,philautia
241,guest love
242,xenia
243,unconditional love
244,agape
245,unrequited love
246,empty love
247,companionate love
248,consummate love
249,infatuated love
250,amour de soi
251,courtly love
252,ren
253,yuanfen
254,mamihlapinatapai
255,cafuné
256,kama
257,bhakti
258,mettā
259,ishq
260,chesed
261,amore
262,charity
263,saudade
264,variants or symbioses of these states
265,color wheel theory of love
266,triangular theory of love
267,spiritual
268,"greek concepts for ""love"""
269,cultural differences
270,essence
271,hate
272,apathy
273,emotionally intimate
274,lust
275,friendship
276,
277,huastec
278,museum of anthropology
279,xalapa
280,veracruz
281,mexico
282,vulnerability and care theory of love
283,narcissism
284,the middle ages
285,clarification needed
286,thought-terminating cliché
287,proverbs
288,virgil
289,love conquers all
290,the beatles
291,all you need is love
292,st. thomas aquinas
293,aristotle
294,bertrand russell
295,clarification needed
296,relative value
297,gottfried leibniz
298,meher baba
299,jeremy griffith
300,altruism
301,paraphilia
302,
303,relationships
304,outline
305,genetic
306,adoptive
307,kinship
308,family
309,parent
310,father
311,mother
312,grandparent
313,sibling
314,cousin
315,marriage
316,spouse
317,husband
318,wife
319,open marriage
320,polygamy
321,polyandry
322,polygyny
323,group marriage
324,mixed-orientation
325,significant other
326,boyfriend
327,girlfriend
328,cohabitation
329,same-sex
330,life partner
331,friendship
332,romantic
333,cross-sex
334,zone
335,intimate
336,sexual
337,casual
338,monogamy
339,non-monogamy
340,mutual monogamy
341,polyamory
342,polyfidelity
343,cicisbeo
344,concubinage
345,courtesan
346,mistress
347,bonding
348,courtship
349,dating
350,engagement
351,bachelor's day
352,mating
353,meet market
354,romance
355,singles event
356,wedding
357,breakup
358,legal
359,marital separation
360,annulment
361,divorce
362,widowhood
363,emotions and feelings
364,affinity
365,attachment
366,intimacy
367,jealousy
368,limerence
369,platonic
370,unconditional
371,passion
372,sexuality
373,bride price
374,dower
375,dowry
376,service
377,hypergamy
378,infidelity
379,sexual activity
380,transgression
381,repression
382,abuse
383,child
384,dating
385,domestic
386,elderly
387,narcissistic parent
388,power and control
389,stalking
