,links
0,main page
1,contents
2,current events
3,random article
4,about wikipedia
5,help
6,learn to edit
7,community portal
8,recent changes
9,upload file
10,"





"
11,"
search
"
12,learn more
13,contributions
14,talk
15,article
16,talk
17,read
18,read
19,what links here
20,related changes
21,upload file
22,special pages
23,
24,technology (disambiguation)
25,
26,steam turbine
27,energy technology
28,history of technology
29,prehistoric
30,stone age
31,neolithic revolution
32,copper age
33,bronze age
34,iron age
35,ancient
36,proto-industrialization
37,first industrial revolution
38,standardization
39,second industrial revolution
40,machine age
41,atomic age
42,jet age
43,space age
44,digital revolution
45,digital transformation
46,information age
47,fourth industrial revolution
48,imagination age
49,emerging technologies
50,ancient africa
51,ancient egypt
52,indian subcontinent
53,ancient china
54,maya civilization
55,hellenistic world
56,roman empire
57,byzantine empire
58,medieval islamic world
59,arab agricultural revolution
60,medieval europe
61,renaissance europe
62,history of agriculture
63,history of biotechnology
64,history of communication
65,history of computer hardware
66,history of electrical engineering
67,history of manufacturing
68,history of materials science
69,history of measurement
70,history of medicine
71,history of nuclear technology
72,history of transport
73,timeline of historic inventions
74,complete list by category
75,article indices
76,outline of technology
77,outline of prehistoric technology
78,v
79,t
80,e
81,conceptual knowledge
82,goals
83,reproducible
84,tools
85,utensils
86,machines
87,software
88,science
89,engineering
90,everyday life
91,society
92,stone tool
93,prehistoric times
94,control of fire
95,growth
96,human brain
97,language
98,ice age
99,wheel
100,bronze age
101,printing press
102,internet
103,knowledge economy
104,economic development
105,prosperity
106,pollution
107,resource depletion
108,technological unemployment
109,automation
110,political debates
111,ethics of technology
112,early 17th century
113,greek
114,greek
115,romanized
116,lit.
117,ancient greek
118,tékhnē
119,massachusetts institute of technology
120,scientific progress
121,second industrial revolution
122,history of technology
123,timeline of historic inventions
124,prehistoric technology
125,
126,hand axe
127,hominids
128,trial and error
129,mya
130,hand axe
131,pressure flaking
132,discovery of fire
133,charles darwin
134,charcoal
135,cooking hypothesis
136,brain size
137,hearths
138,socialization
139,language
140,migrate
141,eurasia
142,neolithic revolution
143,
144,neolithic revolution
145,stone axe
146,forest clearance
147,mesolithic
148,sedentism
149,nomads
150,hunter-gatherer
151,labor specialization
152,uruk
153,sumer
154,hierarchical
155,irrigation
156,writing
157,libraries
158,scientific
159,furnace
160,bellows
161,smelt
162,forge
163,neolithic
164,alloys
165,bronze
166,brass
167,ancient technology
168,ancient technology
169,egyptian technology
170,indian technology
171,chinese technology
172,greek technology
173,roman technology
174,iranian technology
175,
176,sailing ship
177,flooding of the nile
178,sumerians
179,mesopotamia
180,tigris
181,euphrates
182,iraq
183,maykop culture
184,ljubljana marsh
185,potter's wheel
186,ur
187,mass production
188,water wheels
189,travois
190,iran
191,glastonbury
192,persian gulf
193,mediterranean sea
194,minoans
195,crete
196,gortyn
197,knossos
198,
199,pont du gard
200,ancient roman aqueducts
201,running water
202,sewage system
203,cloaca maxima
204,aqueducts
205,roman aqueduct
206,medieval technology
207,renaissance technology
208,middle ages
209,horse collar
210,horseshoes
211,simple machines
212,lever
213,screw
214,pulley
215,wheelbarrow
216,windmills
217,clocks
218,oxford
219,cambridge
220,renaissance
221,movable type
222,printing press
223,industrial revolution
224,second industrial revolution
225,digital revolution
226,
227,automobile
228,steam power
229,industrial revolution
230,agriculture
231,metallurgy
232,factory system
233,second industrial revolution
234,sewage systems
235,light bulbs
236,electric motors
237,automobiles
238,chemistry
239,physics
240,telegraph
241,physics
242,nuclear fission
243,atomic age
244,nuclear weapons
245,nuclear power
246,computers
247,analog
248,digital revolution
249,optical fiber
250,optical amplifiers
251,information age
252,space age
253,sputnik 1
254,crewed missions
255,search for extraterrestrial intelligence
256,radio telescopes
257,technosignatures
258,ct
259,pet
260,mri
261,dialysis machine
262,defibrillator
263,pacemaker
264,pharmaceutical drugs
265,interferon
266,dna microarrays
267,industries
268,computer science
269,technology and society
270,economic development
271,smelting
272,tin
273,tradesmanship
274,hunt or gather
275,militaries
276,medical progress
277,criticized
278,solar
279,wind
280,clean energy
281,technological unemployment
282,artificial intelligence
283,world economic forum's
284,mit
285,daron acemoglu
286,employment-to-population ratio
287,lyndon johnson
288,wechat pay
289,paypal
290,alipay
291,blender.io
292,mixer
293,axie infinity
294,environmental impacts
295,undo said pollution
296,deforestation
297,oil spills
298,greenhouse gases
299,methane
300,carbon dioxide
301,greenhouse effect
302,inca empire
303,lead sulfide
304,flux
305,smelting
306,kiln
307,atmosphere
308,sediment
309,philosophy of technology
310,marx
311,don ihde
312,albert borgmann
313,page needed
314,technological determinism
315,social construction
316,who?
317,sociotechnical systems
318,page needed
319,neil postman
320,herbert marcuse
321,john zerzan
322,ethics of technology
323,genetically modified organisms
324,algorithmic bias
325,aligning ai
326,bioethics
327,computer ethics
328,cyberethics
329,intellectual property rights
330,privacy
331,censorship
332,nanoethics
333,engineering ethics
334,software engineers
335,ethics of artificial intelligence
336,robot ethics
337,machine ethics
338,artificially intelligent agents
339,ai alignment
340,algorithmic bias
341,ai takeover
342,ai capability control
343,military ethics
344,media ethics
345,educational ethics
346,futures studies
347,survey research
348,statistical analysis
