,links
0,main page
1,contents
2,current events
3,random article
4,about wikipedia
5,help
6,learn to edit
7,community portal
8,recent changes
9,upload file
10,"





"
11,"
search
"
12,learn more
13,contributions
14,talk
15,article
16,talk
17,read
18,read
19,what links here
20,related changes
21,upload file
22,special pages
23,violence (disambiguation)
24,hms violent (d57)
25,violent (film)
26,violent (song)
27,physical force
28,harm
29,pain
30,injury
31,death
32,damage
33,world health organization
34,power
35,self-harm
36,suicide
37,war
38,physical
39,mental health
40,economic
41,firearm
42,concentrated (regional) poverty
43,gender inequality
44,
45,self-abuse
46,suicidal thoughts
47,attempted suicides
48,para suicide
49,self-mutilation
50,
51,massacre
52,polish
53,nazi germany's occupation of poland
54,political violence
55,determinants of violence against civilians
56,economic violence
57,slow violence
58,war
59,
60,m8 greyhound
61,paris
62,war of aggression
63,national self-defence
64,secede
65,religious
66,revolutionary wars
67,industrial revolution
68,world war i casualties
69,world war ii casualties
70,
71,
72,julius schnorr von karolsfeld
73,intimate partner violence
74,child abuse
75,child corporal punishment
76,abuse of the elderly
77,rape
78,sexual assault
79,schools
80,workplaces
81,prisons
82,child abuse
83,sexual abuse
84,neglect
85,negligence
86,child exploitation
87,
88,kids off the block
89,"roseland, chicago"
90,bullying
91,vague
92,business improvement districts
93,psychological trauma during childhood
94,
95,joint base myer-henderson hall
96,domestic violence
97,intimate partner violence
98,unintended pregnancies
99,antisocial personality disorder
100,sexual violence
101,
102,sexual violence in the democratic republic of the congo
103,domestic violence
104,elder abuse
105,physical
106,sexual
107,psychological
108,financial
109,neglect
110,dignity
111,respect
112,assassination
113,school shootings
114,latin america and the caribbean
115,
116,slavoj žižek
117,citation needed
118,ontological
119,ontological
120,citation needed
121,foucault
122,arendt
123,power
124,feminist philosophy
125,epistemic violence
126,citation needed
127,brad evans
128,dignity
129,selfhood
130,protective factors
131,risk factors
132,childrearing
133,coping strategies
134,prosocial
135,social ecological model
136,genetics
137,personality disorders
138,substance abuse
139,elder abuse
140,income inequality
141,longitudinal studies
142,corporal punishment
143,pre-industrial societies
144,domestic corporal punishment
145,murray a. straus
146,spanking
147,psychology
148,neurobiologist
149,structural violence
150,sociology
151,medical anthropology
152,psychology
153,psychiatry
154,philosophy
155,bioarchaeology
156,evolutionary psychology
157,sexual jealousy in humans
158,homicide
159,mammal
160,homicides
161,inequalities
162,media violence research
163,brown v ema
164,mental disorder § violence
165,victims
166,psychopathy
167,mediating
168,alcohol use
169,california
170,world health organization
171,triple p (parenting program)
172,life skills
173,violence against women
174,gender equality
175,social norms
176,dating violence
177,sexual abuse
178,mental health problems associated with violence
179,reductions in poverty
180,decision-making
181,
182,law
183,max weber
184,monopoly of the legitimate use of force
185,law
186,legal systems
187,police
188,military
189,police power
190,hannah arendt
191,democide
192,police brutality
193,execution
194,massacre
195,labour camps
196,famine
197,self-defense
198,crimes
199,violent crimes
200,federal bureau of investigation
201,homicide
202,criminal homicide
203,justifiable homicide
204,problem-oriented policing
205,university of colorado boulder
206,social ecological model
207,
208,bahrain
209,pro-democracy protesters
210,human rights
211,autonomy
212,inhuman and degrading treatment
213,privacy
214,right to the highest attainable standard of health
215,international and regional treaties
216,convention on the elimination of all forms of discrimination against women
217,convention on the rights of the child
218,sexual abuse
219,"personal reflection, personal essay, or argumentative essay"
220,encyclopedic style
221,learn how and when to remove this template message
222,structural violence
223,cultural violence
224,geography
225,humanist
226,marxist
227,feminist
228,spatial justice
229,giorgio agamben
230,state of exception
231,homo sacer
232,guantanamo bay
233,khmer rouge
234,pol pot
235,choeung ek
236,killing fields
237,adriana cavarero
238,clarification needed
239,
240,disability-adjusted life years
241,
242,suicide
243,african americans
244,history of violence (disambiguation)
245,holocene
246,sedentism
247,douglas p. fry
248,jared diamond
249,"guns, germs and steel"
250,the third chimpanzee
251,
252,war before civilization
253,post-colonial perspective
254,archaeology
255,anthropology
256,bioarchaeology
257,lawrence h. keeley
258,war before civilization
259,tribal societies
260,endemic warfare
261,world war ii
262,long peace
263,steven pinker
264,the better angels of our nature
265,genocide
266,cannibalism
267,slavery
268,capital punishment
269,norbert elias
270,homicide
271,warfare
272,
273,"petah tikva, israel"
274,semi-automatic pistol
275,hebrew
276,substance misuse
277,poverty traps
278,baten
279,regicide
280,measurement unit
281,interpersonal violence
282,economic development
283,investments
284,correlation
285,human capital
286,institute for economics and peace
287,wayback machine
288,purchasing power parity
289,religious violence
290,ideology
291,
292,taliban
293,
294,st. bartholomew's day massacre
295,blood libel
296,medieval
297,witchcraft
298,satanic ritual abuse
299,war on terrorism
300,anti-capitalists
301,capitalism
302,private property
303,profit
304,structural violence
305,frantz fanon
306,colonialism
307,mahatma gandhi
308,nonviolent
309,anarchy
310,voluntarism
311,mutualism
312,anarchism
313,libertarianism
314,luther seminary
315,terence e. fretheim
316,aestheticization of violence
317,aggression
318,ahimsa
319,communal violence
320,corporal punishment
321,domestic violence
322,fight-or-flight response
323,harm principle
324,hunting
325,legislative violence
326,martial arts
327,nonviolence
328,pacifism
329,parasitism
330,predation
331,religious violence
332,resentment
333,sectarian violence
334,war
