,links
0,main page
1,contents
2,current events
3,random article
4,about wikipedia
5,help
6,learn to edit
7,community portal
8,recent changes
9,upload file
10,"





"
11,"
search
"
12,learn more
13,contributions
14,talk
15,article
16,talk
17,read
18,read
19,what links here
20,related changes
21,upload file
22,special pages
23,liberal democracy
24,democracy (disambiguation)
25,democrat (disambiguation)
26,
27,nelson mandela
28,1994 south african general election
29,apartheid
30,universal suffrage
31,politics series
32,history
33,indices
34,types
35,anticipatory
36,athenian
37,cellular
38,consensus
39,conservative
40,cosmopolitan
41,defensive
42,deliberative
43,direct
44,economic
45,electronic
46,empowered
47,ethnic
48,grassroots
49,guided
50,hybrid regime
51,inclusive
52,industrial
53,jacksonian
54,jeffersonian
55,liberal
56,illiberal
57,liquid
58,majoritarian democracy
59,media
60,monitory
61,multiparty
62,national
63,new
64,non-partisan
65,oral
66,participatory
67,people's
68,pluralist
69,popular
70,procedural
71,radical
72,representative
73,religious
74,buddhist
75,christian
76,islamic
77,jewish
78,mormon
79,sectarian
80,semi
81,semi-direct
82,social
83,socialist
84,sociocracy
85,sovereign
86,soviet
87,substantive
88,supermajority
89,totalitarian
90,workplace
91,anarchism
92,citizens' assembly
93,criticism of democracy
94,deliberative referendum
95,democratic capitalism
96,democratic centralism
97,democratic confederalism
98,democratic peace theory
99,democratic republic
100,democratic socialism
101,democratic transition
102,democratization
103,democracy and economic growth
104,democracy in marxism
105,democracy promotion
106,initiative
107,kleroterion
108,liberalism
109,libertarianism
110,majoritarianism
111,motion
112,ochlocracy
113,peaceful transition of power
114,people's democratic dictatorship
115,political demonstration
116,political equality
117,polyarchy
118,popular referendum
119,populism
120,proportional representation
121,referendum
122,right to petition
123,right to protest
124,sortition
125,territorial peace theory
126,tyranny of the majority
127,voting
128,war referendum
129,wars between democracies
130,waves of democracy
131,
132,politics portal
133,v
134,t
135,e
136,politics series
137,government
138,list of forms of government
139,demarchy
140,direct
141,liberal
142,representative
143,social
144,socialist
145,others
146,oligarchy
147,anocracy
148,aristocracy
149,gerontocracy
150,kleptocracy
151,kritarchy
152,meritocracy
153,noocracy
154,particracy
155,plutocracy
156,stratocracy
157,technocracy
158,theocracy
159,autocracy
160,despotism
161,dictatorship
162,military dictatorship
163,tyranny
164,anarchy
165,anarchism
166,free association
167,stateless
168,monarchy
169,republic
170,absolute
171,communist
172,constitutional
173,directorial
174,legalist
175,parliamentary
176,presidential
177,semi-presidential
178,socialist
179,authoritarian
180,libertarian
181,anarchism
182,colonialism
183,communism
184,despotism
185,distributism
186,fascism
187,feudalism
188,socialism
189,totalitarianism
190,tribalism
191,state religion
192,secular state
193,state atheism
194,global
195,local
196,city-state
197,intergovernmental organisation
198,national government
199,world government
200,nationalism
201,internationalism
202,globalism
203,unitarism
204,unitary state
205,empire
206,principality
207,client state
208,associated state
209,dependent territory
210,dominion
211,protectorate
212,puppet state
213,puppet monarch
214,satellite state
215,self-governing colony
216,tributary state
217,buffer state
218,vassal state
219,viceroyalty
220,federalism
221,confederation
222,devolution
223,federation
224,superstate
225,supranational union
226,international relations
227,small power
228,regional power
229,middle power
230,great power
231,superpower
232,administrative division
233,democracy indices
234,democratic transition
235,autocratization
236,democratisation
237,hybrid regimes
238,
239,politics portal
240,v
241,t
242,e
243,ancient greek
244,romanized
245,government
246,the people
247,general population
248,united nations
249,human rights
250,freely expressed will of people
251,direct democracy
252,authority
253,deliberate
254,representative democracy
255,officials
256,elections
257,freedom of assembly
258,association
259,personal property
260,freedom of religion
261,speech
262,citizenship
263,consent of the governed
264,voting rights
265,right to life
266,liberty
267,minority rights
268,direct democracy
269,communities
270,popular assembly
271,representative democracy
272,parliamentary
273,presidential democracy
274,majority rule
275,plurality rule
276,supermajority rule
277,consensus rule
278,majoritarianism
279,liberal democracy
280,constitution
281,supreme court
282,greek city-states
283,classical athens
284,aristocracy
285,western democracy
286,city-states
287,roman republic
288,the west
289,late antiquity
290,suffrage
291,autocratic
292,absolute monarchy
293,oligarchy
294,ancient greek philosophy
295,karl popper
296,dictatorship
297,tyranny
298,revolution
299,v-dem democracy indices
300,the economist democracy index
301,democratic backsliding
302,hybrid regimes
303,democratization
304,
305,de jure
306,saudi arabia
307,oman
308,uae
309,qatar
310,brunei
311,afghanistan
312,vatican
313,karl popper
314,kofi annan
315,unesco
316, equal before the law
317,representative democracy
318,constitution
319,direct democracy
320,political equality
321,legal equality
322,political freedom
323,rule of law
324,roger scruton
325,civil society
326,united kingdom
327,westminster system
328,parliamentary sovereignty
329,judicial independence
330,india
331,constitution of india
332,judicial review
333, political state
334,firms
335,majority rule
336, political minorities
337,tyranny of the majority
338,consensus democracy
339,elections
340,deliberation
341,freedom of political expression
342,freedom of speech
343,freedom of the press
344,social contract
345, collective will
346, collectivism
347,lawmaking
348,republics
349,consent of the governed
350,republicanism
351,republic
352, aristocracies
353,monarch
354, constitutional monarchies
355,history of democracy
356,
357,philipp foltz
358,pericles
359,funeral oration
360,assembly
361,democratic assemblies
362,montesquieu
363,daniel deudney
364,pages needed
365,athenian democracy
366,athens
367,classical antiquity
